query_id	doc_id	relevance
10005	doc-9c8a0a64eefd6ce9	1
10007	doc-555085c66c6745a3	1
10010	doc-64a29d3fe4361bbf	1
10029	doc-5653d8ebd9c49f5b	1
10055	doc-9b4625f96a64ee0a	1
10057	doc-cd78c4b91df10277	1
10071	doc-b10e178df21f9d44	1
10077	doc-9e21c3c4005b3045	1
10119	doc-0decdab90027cfdd	1
10127	doc-40e6b0a653dfbab4	1
10137	doc-0cc75c1cd1e762f0	1
10151	doc-de9f1a76beddefa5	1
10175	doc-6f83e7e8b96cef8e	1
10201	doc-5e763a5323f3b22d	1
10205	doc-2d20028295cdadcd	1
10242	doc-f7722c0505e959c3	1
10253	doc-2603f2774de507c7	1
10258	doc-f17aaa54c8c1cd07	1
10265	doc-6b145832e4c9fd1c	1
10276	doc-a6d7c36db2b9fc44	1
10300	doc-5d2bd393f1aa2dd7	1
10308	doc-b23378d73e714cb1	1
10310	doc-0bdc29a62f6c7fc8	1
10311	doc-c3f766b0d2f27d98	1
10329	doc-368d585e959425be	1
10356	doc-491ad0d7a59984bd	1
10390	doc-522e3b5cdc936e76	1
10406	doc-6bfce5829aca6187	1
10441	doc-4710bbc7d191fa07	1
10450	doc-036fdbb06c478f12	1
10501	doc-3e7f8b736adab609	1
10521	doc-2242399fb2d0fa30	1
10524	doc-648bdeb258291f32	1
10605	doc-61ab00409dd34401	1
10628	doc-309c814d4ba7f736	1
10646	doc-14c0a27f97c18e08	1
10649	doc-ec51a0bf6e5de09d	1
10659	doc-c01e63b6735fbc8c	1
10686	doc-62fdebafdfbaeeb7	1
10699	doc-60a03530f37caeee	1
10715	doc-0081e300f0c5403c	1
10724	doc-9c6ffc8c9455b2c9	1
10758	doc-c83d009a3690a72f	1
10765	doc-9785f9936104288c	1
10840	doc-72ba35a72fed92d6	1
10855	doc-04b6ab9d23c18151	1
10978	doc-2128a4216d980fb0	1
11099	doc-8852092f5a414531	1
11290	doc-4e72fa5c1199271e	1
11315	doc-02f312791c6dac9b	1
11383	doc-78c12b84556bb09d	1
11539	doc-b59612de6e7de22e	1
11583	doc-56692af771d1c18a	1
11716	doc-befb0d84963f5ab6	1
11739	doc-406612505a0b0b9f	1
11767	doc-afb540812c7b668b	1
11804	doc-90d3b26e2f635f51	1
11809	doc-166a17809c28df2f	1
11811	doc-757c194f020f514e	1
11836	doc-8550e39884f7980a	1
11870	doc-d0b1dd17b184c71c	1
11901	doc-31869dfad0455f70	1
11937	doc-db59382f2a64667d	1
11980	doc-ff5908f80fde40b7	1
12147	doc-8b6b6bbffde7d317	1
12157	doc-263368468342e04f	1
12188	doc-27fa34d8322e71c8	1
12195	doc-7e4425fcd0c03820	1
12207	doc-be8786dc770dcdda	1
12250	doc-463b3510c3cef8b8	1
12342	doc-72bc393db4b63d09	1
12469	doc-d3f2c492d639b3ea	1
12486	doc-1b890cdbb1fe2f6b	1
12487	doc-d3f9bca9c8f7e038	1
12516	doc-167395d44df300fe	1
12565	doc-6f3c7c5898547879	1
12573	doc-918d9ca1fc30b042	1
12761	doc-afdd1eb8e179b8c0	1
12873	doc-78b2451976975730	1
9691	doc-93a0a9a95b2871d0	1
9697	doc-7a032428a3e9b53b	1
9710	doc-56568b6ac823c4cb	1
9720	doc-6ec7f5faed90d6f9	1
9723	doc-e0b67ba97343829f	1
9724	doc-5631283746b4487a	1
9731	doc-b74f824b9bff1f8f	1
9737	doc-29bb6e3505e8cb1e	1
9755	doc-dee6223b3990015e	1
9791	doc-51e242b84d8d95d9	1
9821	doc-f5841a4f496dbda9	1
9841	doc-f952d93f49261451	1
9845	doc-58f081264fec2480	1
9859	doc-6717224309415d79	1
9869	doc-ab73ac43b6251bb7	1
9875	doc-2a9d2c0363aab0aa	1
9892	doc-85d8e85c8c989100	1
9955	doc-7ae9805397edaaa8	1
9969	doc-8df0484750f85409	1
9974	doc-46693ff451d479bf	1
9999	doc-4d143f69ba4fd62f	1
